Original,Mapped To
3M,3M
3M COMPANY,3M
A O SMITH CORP,A O SMITH CORP
ABBOTT LABORATORIES,ABBOTT LABORATORIES
ABBVIE,ABBVIE
ABBVIE INC,ABBVIE
ACCENTURE CLASS A,ACCENTURE PLC
ACCENTURE PLC,ACCENTURE PLC
ADOBE (NAS),ADOBE INC
ADOBE INC,ADOBE INC
ADVANCED MICRO,ADVANCED MICRO DEVICES
ADVANCED MICRO DEVICES,ADVANCED MICRO DEVICES
AES,AES
AES CORP,AES
AFLAC,AFLAC
AFLAC INC,AFLAC
AGILENT TECHNOLOGIES,AGILENT TECHNOLOGIES
AGILENT TECHS.,AGILENT TECHNOLOGIES
AIR PRDS.& CHEMS.,AIR PRODUCTS
AIR PRODUCTS,AIR PRODUCTS
AIRBNB,AIRBNB
AIRBNB A,AIRBNB
AKAMAI TECHNOLOGIES,AKAMAI TECHNOLOGIES
AKAMAI TECHS.,AKAMAI TECHNOLOGIES
ALBEMARLE,ALBEMARLE
ALBEMARLE CORP,ALBEMARLE
ALEXANDRIA REAL ESTA,ALEXANDRIA REAL ESTATE
ALEXANDRIA REAL ESTATE,ALEXANDRIA REAL ESTATE
ALEXANDRIA REAL ESTATE EQUITIES REIT,ALEXANDRIA REAL ESTATE
ALIGN TECHNOLOGY,ALIGN TECHNOLOGY
ALIGN TECHNOLOGY INC,ALIGN TECHNOLOGY
ALLEGION,ALLEGION
ALLEGION PLC,ALLEGION
ALLIANT ENERGY (XSC),ALLIANT ENERGY CORP
ALLIANT ENERGY CORP,ALLIANT ENERGY CORP
ALLSTATE CORP,ALLSTATE CORP
ALLSTATE ORD SHS,ALLSTATE CORP
ALPHABET 'A',ALPHABET
ALPHABET 'C',ALPHABET
ALPHABET INC,ALPHABET
ALTRIA GROUP,ALTRIA GROUP
ALTRIA GROUP INC,ALTRIA GROUP
AMAZON.COM,AMAZON.COM
AMAZON.COM INC,AMAZON.COM
AMCOR,AMCOR
AMCOR LIMITED,AMCOR
AMER.ELEC.PWR.,AMERICAN ELECTRIC
AMEREN,AMEREN
AMEREN CORPORATION,AMEREN
AMERICAN ELECTRIC,AMERICAN ELECTRIC
AMERICAN EXPRESS,AMERICAN EXPRESS
AMERICAN EXPRESS CO,AMERICAN EXPRESS
AMERICAN INT'L GROUP,AMERICAN INT'L GROUP
AMERICAN INTL.GP.,AMERICAN INT'L GROUP
AMERICAN TOWER,AMERICAN TOWER
AMERICAN TOWER CORP,AMERICAN TOWER
AMERICAN WATER WORKS,AMERICAN WATER WORKS
AMERIPRISE FIN,AMERIPRISE FIN
AMERIPRISE FINL.,AMERIPRISE FIN
AMETEK,AMETEK
AMETEK INC,AMETEK
AMGEN,AMGEN
AMGEN INC,AMGEN
AMPHENOL 'A',AMPHENOL CORP
AMPHENOL CORP,AMPHENOL CORP
ANALOG DEVICES,ANALOG DEVICES
"ANALOG DEVICES, INC.",ANALOG DEVICES
ANSYS,ANSYS
ANSYS INC,ANSYS
AON CLASS A,AON PLC
AON PLC,AON PLC
APA,APA
APA CORP (US),APA
APOLLO GLOB,APOLLO GLOBAL MANAGEMENT
APOLLO GLOBAL MANAGEMENT,APOLLO GLOBAL MANAGEMENT
APPLE,APPLE
APPLE INC,APPLE
APPLIED MATERIALS,APPLIED MATERIALS
APPLIED MATS.,APPLIED MATERIALS
APTIV,APTIV
ARCH CAP.GP.,ARCH CAPITAL GROUP
ARCH CAPITAL GROUP,ARCH CAPITAL GROUP
ARCHER DANIELS MIDL,ARCHER DANIELS MIDLAND
ARCHER DANIELS MIDLAND,ARCHER DANIELS MIDLAND
ARISTA NETWORKS,ARISTA NETWORKS
ARISTA NETWORKS INC,ARISTA NETWORKS
ARTHUR J GALLAGHER,ARTHUR J GALLAGHER
ARTHUR J. GALLAGHE,ARTHUR J GALLAGHER
ASSURANT,ASSURANT
ASSURANT INC,ASSURANT
AT&T,AT&T
AT&T INC,AT&T
ATMOS ENERGY,ATMOS ENERGY
ATMOS ENERGY CORP,ATMOS ENERGY
AUTODESK,AUTODESK
AUTODESK INC,AUTODESK
AUTOMATIC DATA PROC,AUTOMATIC DATA PROC
AUTOMATIC DATA PROC.,AUTOMATIC DATA PROC
AUTOZONE,AUTOZONE
AUTOZONE INC,AUTOZONE
AVALONBAY COMMNS.,AVALONBAY COMMNS
AVALONBAY COMMU,AVALONBAY COMMNS
AVERY DENNISON,AVERY DENNISON
AVERY DENNISON CORP,AVERY DENNISON
AXON ENTERPRISE,AXON ENTERPRISE
AXON ENTERPRISE INC,AXON ENTERPRISE
BAKER HUGHES A,BAKER HUGHES
BAKER HUGHES CO,BAKER HUGHES
BALL,BALL CORPORATION
BALL CORPORATION,BALL CORPORATION
BANK OF AMERICA,BANK OF AMERICA
BANK OF AMERICA CORP,BANK OF AMERICA
BANK OF NEW YORK,BANK OF NEW YORK
BANK OF NEW YORK MELLON,BANK OF NEW YORK
BAXTER INTERNATIONAL,BAXTER INTL.
BAXTER INTL.,BAXTER INTL.
BECTON DICKINSON,BECTON DICKINSON
"BECTON, DICKINSON",BECTON DICKINSON
BERKSHIRE HATHAWAY,BERKSHIRE HATHAWAY
BERKSHIRE HATHAWAY 'B',BERKSHIRE HATHAWAY
BEST BUY,BEST BUY
BEST BUY CO INC,BEST BUY
BI - ECHNE CORP,BIO-TECHNE
BIO-TECHNE,BIO-TECHNE
BIO-TECHNE - ECHNE,BIO-TECHNE
BIO-TECHNE CORP,BIO-TECHNE
BIO-TECHNE CORP - ECHNE CORP,BIO-TECHNE
BIOGEN,BIOGEN
BIOGEN INC,BIOGEN
BLACKROCK,BLACKROCK
BLACKROCK INC,BLACKROCK
BLACKSTONE,BLACKSTONE
BLACKSTONE INC,BLACKSTONE
BOEING,BOEING
BOEING CO,BOEING
BOOKING HOLDINGS,BOOKING HOLDINGS
BOSTON SCIENTIFIC,BOSTON SCIENTIFIC
BRISTO - YERS SQUIBB,BRISTOL MYERS SQUIBB
BRISTOL MYERS SQUIBB,BRISTOL MYERS SQUIBB
BRISTOL-MYERS SQUIBB,BRISTOL MYERS SQUIBB
BRISTOL-MYERS SQUIBB - YERS SQUIBB,BRISTOL MYERS SQUIBB
BROADCOM,BROADCOM
BROADCOM INC,BROADCOM
BROADRIDGE FINANCIAL,BROADRIDGE FINANCIAL
BROADRIDGE FINL.SLTN.,BROADRIDGE FINANCIAL
BROW - ORMAN CORP,BROWN-FORMAN CORP
BROWN & BROWN,BROWN & BROWN
BROWN-FORMAN 'B',BROWN-FORMAN CORP
BROWN-FORMAN 'B' - ORMAN 'B',BROWN-FORMAN CORP
BROWN-FORMAN CORP,BROWN-FORMAN CORP
BROWN-FORMAN CORP - ORMAN CORP,BROWN-FORMAN CORP
BUILDERS FIRSTSOURCE,BUILDERS FIRSTSOURCE
BUNGE GLOBAL,BUNGE GLOBAL
BUNGE GLOBAL SA,BUNGE GLOBAL
BXP,BXP
BXP INC,BXP
CADENCE DESIGN SYS.,CADENCE DESIGN SYST
CADENCE DESIGN SYST,CADENCE DESIGN SYST
CAESAR,CAESAR
CAESARS ENTERTAINMENT,CAESAR
CAMDEN PROPERTY,CAMDEN PROPERTY
CAMDEN PROPERTY TST.,CAMDEN PROPERTY
CAMPBELL'S CO,CAMPBELL'S CO
CAPITAL ONE FIN'L,CAPITAL ONE FIN'L
CAPITAL ONE FINL.,CAPITAL ONE FIN'L
CARDINAL HEALTH,CARDINAL HEALTH
"CARDINAL HEALTH, INC",CARDINAL HEALTH
CARMAX,CARMAX
CARMAX INC,CARMAX
CARNIVAL,CARNIVAL
CARNIVAL CORP,CARNIVAL
CARRIER GLOBAL,CARRIER GLOBAL
CATERPILLAR,CATERPILLAR
CATERPILLAR INC,CATERPILLAR
CBOE GLOBAL,CBOE GLOBAL
CBOE GLOBAL MARKETS(BTS),CBOE GLOBAL
CBRE GROUP,CBRE GROUP
CBRE GROUP CLASS A,CBRE GROUP
CDW,CDW
CDW CORP,CDW
CENCORA,CENCORA
CENCORA INC,CENCORA
CENTENE,CENTENE
CENTENE CORP,CENTENE
CENTERPOINT EN.,CENTERPOINT ENERGY
CENTERPOINT ENERGY,CENTERPOINT ENERGY
CF IND HLDGS INC,CF IND HLDGS INC
CF INDUSTRIES HDG.,CF IND HLDGS INC
CH ROBINSO,CH ROBINSON
CH ROBINSON WWD.,CH ROBINSON
CHARLES RIVER LAB,CHARLES RIVER LABS
CHARLES SCHWAB,CHARLES SCHWAB
CHARLES SCHWAB CORP,CHARLES SCHWAB
CHARTER COMMS.CL.A,CHARTER COMMS
CHARTER COMMU,CHARTER COMMS
CHAS.RVR.LABS.INTL.,CHARLES RIVER LABS
CHEVRON,CHEVRON
CHEVRON CORP,CHEVRON
CHIPOTLE MEXICAN,CHIPOTLE MEXICAN
CHIPOTLE MEXN.GRILL,CHIPOTLE MEXICAN
CHUBB,CHUBB
CHURCH & DWIGHT CO,CHURCH & DWIGHT CO
CHURCH & DWIGHT CO.,CHURCH & DWIGHT CO
CIGNA,CIGNA
CIGNA GROUP,CIGNA
CINCINNATI FINL CORP,CINCINNATI FINL
CINCINNATI FINL.,CINCINNATI FINL
CINTAS,CINTAS
CINTAS CORP,CINTAS
CISCO SYSTEMS,CISCO SYSTEMS
"CISCO SYSTEMS, INC.",CISCO SYSTEMS
CITIGROUP,CITIGROUP
CITIGROUP INC,CITIGROUP
CITIZENS FINANCIAL,CITIZENS FINANCIAL
CITIZENS FINANCIAL GROUP,CITIZENS FINANCIAL
CLOROX,CLOROX
CLOROX CO,CLOROX
CME GROUP,CME GROUP
CME GROUP INC,CME GROUP
CMS ENERGY,CMS ENERGY
CMS ENERGY CORP,CMS ENERGY
COC - OLA,COCA COLA
COCA COLA,COCA COLA
COCA-COLA,COCA COLA
COCA-COLA - OLA,COCA COLA
COGNIZANT TECH.SLTN.'A',COGNIZANT TECHNOLOGY
COGNIZANT TECHNOLOGY,COGNIZANT TECHNOLOGY
COLGAT - ALMOLIVE CO,COLGATE-PALMOLIVE CO
COLGATE-PALM.,COLGATE-PALMOLIVE CO
COLGATE-PALM. - ALM.,COLGATE-PALMOLIVE CO
COLGATE-PALMOLIVE CO,COLGATE-PALMOLIVE CO
COLGATE-PALMOLIVE CO - ALMOLIVE CO,COLGATE-PALMOLIVE CO
COMCAST A,COMCAST
COMCAST CORP,COMCAST
CONAGRA BRANDS,CONAGRA BRANDS
CONAGRA BRANDS INC,CONAGRA BRANDS
CONOCOPHILLIPS,CONOCOPHILLIPS
CONSOLIDATED EDISON,CONSOLIDATED EDISON
CONSTELLATION BRANDS,CONSTELLATION BRANDS
CONSTELLATION BRANDS 'A',CONSTELLATION BRANDS
CONSTELLATION ENERGY,CONSTELLATION ENERGY
COOPER COMPANIES INC,COOPER COMPANIES
COOPER COS.,COOPER COMPANIES
COPART,COPART
COPART INC,COPART
CORNING,CORNING
CORNING INCORPORATED,CORNING
CORPAY,CORPAY
CORPAY INC,CORPAY
CORTEVA,CORTEVA
CORTEVA INC,CORTEVA
COSTAR GP.,COSTAR GROUP
"COSTAR GROUP, INC.",COSTAR GROUP
COSTCO WHOLESALE,COSTCO WHOLESALE
COTERRA ENERGY,COTERRA ENERGY
COTERRA ENERGY INC,COTERRA ENERGY
CROWDSTRIKE HOLD,CROWDSTRIKE
CROWDSTRIKE HOLDINGS A,CROWDSTRIKE
CROWN CASTLE,CROWN CASTLE
CSX,CSX
CSX CORP,CSX
CUMMINS,CUMMINS
CUMMINS INC,CUMMINS
CVS HEALTH,CVS HEALTH
CVS HEALTH CORP,CVS HEALTH
D R HORTON,D R HORTON
DANAHER,DANAHER
DANAHER CORP,DANAHER
DARDEN RESTAURANTS,DARDEN RESTAURANTS
DAVITA,DAVITA
DAVITA INC,DAVITA
DAYFORCE,DAYFORCE
DAYFORCE INC,DAYFORCE
DECKERS OUTDOOR,DECKERS OUTDOOR
DECKERS OUTDOOR CORP,DECKERS OUTDOOR
DEERE,DEERE
DEERE & CO,DEERE
DELL TECH,DELL TECH
DELL TECHNOLOGIES C,DELL TECH
DELTA AIR LINES,DELTA AIR LINES
"DELTA AIR LINES, INC",DELTA AIR LINES
DEVON ENERGY,DEVON ENERGY
DEVON ENERGY CORP,DEVON ENERGY
DEXCOM,DEXCOM
DEXCOM INC,DEXCOM
DIAMONDBACK,DIAMONDBACK
DIAMONDBACK ENERGY,DIAMONDBACK
DIGITAL REALTY TRUST,DIGITAL REALTY TRUST
DIGITAL REALTY TST.,DIGITAL REALTY TRUST
DISCOVER FINANCI,DISCOVER FINANCIAL
DISCOVER FINANCIAL SVS.,DISCOVER FINANCIAL
DOLLAR GENERAL,DOLLAR GENERAL
DOLLAR GENERAL CORP,DOLLAR GENERAL
DOLLAR TREE,DOLLAR TREE
"DOLLAR TREE, INC",DOLLAR TREE
DOMINION ENERGY,DOMINION ENERGY
DOMINION ENERGY INC,DOMINION ENERGY
"DOMINO' S PIZZA, INC",DOMINO'S PIZZA
DOMINO'S PIZZA,DOMINO'S PIZZA
DOORDASH A,DOORDASH
DOORDASH INC,DOORDASH
DOVER,DOVER
DOVER CORP,DOVER
DOW INC,DOW INC
DOW ORD SHS,DOW INC
DR HORTON INC,D R HORTON
DTE ENERGY,DTE ENERGY
DTE ENERGY CO,DTE ENERGY
DUKE ENERGY,DUKE ENERGY
DUKE ENERGY CORP,DUKE ENERGY
DUPONT DE,DUPONT DE
DUPONT DE NEMOURS,DUPONT DE
EASTMAN CHEMICAL,EASTMAN CHEMICAL
EASTMAN CHEMICAL CO,EASTMAN CHEMICAL
EATON,EATON
EATON CORP PLC,EATON
EBAY,EBAY
EBAY INC.,EBAY
ECOLAB,ECOLAB
ECOLAB INC,ECOLAB
EDISON INTERNATIONAL,EDISON INTL.
EDISON INTL.,EDISON INTL.
EDWARDS LIFESCIENCES,EDWARDS LIFESCIENCES
ELECTRONIC ARTS,ELECTRONIC ARTS
"ELECTRONIC ARTS, INC",ELECTRONIC ARTS
ELEVANCE HEALTH,ELEVANCE HEALTH
ELI LILLY,ELI LILLY
EMERSON ELECTRIC,EMERSON ELECTRIC
EMERSON ELECTRIC CO.,EMERSON ELECTRIC
ENPHASE ENERGY,ENPHASE ENERGY
ENTERGY,ENTERGY
ENTERGY CORPORATION,ENTERGY
EOG RES.,EOG RESOURCES
"EOG RESOURCES, INC.",EOG RESOURCES
EPAM SYSTE,EPAM SYSTEMS
EPAM SYSTEMS,EPAM SYSTEMS
EQT,EQT
EQT CORPORATION,EQT
EQUIFAX,EQUIFAX
EQUIFAX INC.,EQUIFAX
EQUINIX REIT,EQUINIX
"EQUINIX, INC.",EQUINIX
EQUITY RESD.TST.PROPS. SHBI,EQUITY RESIDENTIAL
EQUITY RESIDENTIAL,EQUITY RESIDENTIAL
ERIE INDEMNITY,ERIE INDEMNITY
ERIE INDEMNITY 'A',ERIE INDEMNITY
ESSEX PROPERTY TRUST,ESSEX PROPERTY TRUST
ESSEX PROPERTY TST.,ESSEX PROPERTY TRUST
ESTEE LAUDER CO,ESTEE LAUDER CO
ESTEE LAUDER COS.'A',ESTEE LAUDER CO
EVEREST GROUP,EVEREST GROUP
EVEREST GROUP LTD,EVEREST GROUP
EVERGY,EVERGY
EVERGY INC,EVERGY
EVERSOURCE ENERGY,EVERSOURCE ENERGY
EXELON,EXELON
EXELON CORPORATION,EXELON
EXPAND ENERGY,EXPAND ENERGY
EXPAND ENERGY CORP,EXPAND ENERGY
EXPEDIA GROUP,EXPEDIA GROUP
EXPEDIA GROUP INC,EXPEDIA GROUP
EXPEDITORS INTL WASH,EXPEDITORS INTL WASH
EXPEDITORS INTL.OF WASH. A,EXPEDITORS INTL WASH
EXTRA SPACE STORAGE,EXTRA SPACE STORAGE
EXTRA SPACE STRG.,EXTRA SPACE STORAGE
EXXON MOBIL,EXXON MOBIL
EXXON MOBIL CORP,EXXON MOBIL
F5,F5
F5 INC,F5
FACTSET RESEARCH SYS,FACTSET RESEARCH SYS
FACTSET RESEARCH SYS.,FACTSET RESEARCH SYS
FAIR ISAAC,FAIR ISAAC
FAIR ISAAC CORP.,FAIR ISAAC
FASTENAL,FASTENAL
FASTENAL COMPANY,FASTENAL
FEDERAL REALTY INV.TST.,FEDERAL REALTY INVST
FEDERAL REALTY INVST,FEDERAL REALTY INVST
FEDEX,FEDEX
FEDEX CORP,FEDEX
FIDELITY NAT.INFO.SVS.,FIDELITY NATNL INF
FIDELITY NATNL INF,FIDELITY NATNL INF
FIFTH THIRD BANCORP,FIFTH THIRD BANCORP
FIRST SOLAR,FIRST SOLAR
"FIRST SOLAR, INC.",FIRST SOLAR
FIRSTENERGY,FIRSTENERGY
FIRSTENERGY CORP,FIRSTENERGY
FISERV,FISERV
FISERV INC,FISERV
FORD MOTOR,FORD MOTOR
FORD MOTOR COMPANY,FORD MOTOR
FORTINET,FORTINET
FORTINET INC,FORTINET
FORTIVE,FORTIVE
FORTIVE CORP,FORTIVE
FOX A,FOX
FOX B,FOX
FOX CORP,FOX
FRANKLIN RESOURCES,FRANKLIN RESOURCES
FREEPOR - CMORAN INC,FREEPORT-MCMORAN
FREEPORT-MCMORAN,FREEPORT-MCMORAN
FREEPORT-MCMORAN - CMORAN,FREEPORT-MCMORAN
FREEPORT-MCMORAN INC,FREEPORT-MCMORAN
FREEPORT-MCMORAN INC - CMORAN INC,FREEPORT-MCMORAN
GARMIN,GARMIN
GARMIN LTD.,GARMIN
GARTNER 'A',GARTNER INC
GARTNER INC,GARTNER INC
GE AEROSPACE,GE AEROSPACE
GE HEALTHCARE,GE HEALTHCARE
GE HEALTHCARE TECHNOLOGIES,GE HEALTHCARE
GE VERNOVA,GE VERNOVA
GE VERNOVA INC,GE VERNOVA
GEN DIGITAL,GEN DIGITAL
GEN DIGITAL INC,GEN DIGITAL
GENERAC HOLDINGS,GENERAC HOLDINGS
GENERAL DYNAMICS,GENERAL DYNAMICS
GENERAL ELECTRIC CO,GE AEROSPACE
GENERAL MILLS,GENERAL MILLS
"GENERAL MILLS, INC.",GENERAL MILLS
GENERAL MOTORS,GENERAL MOTORS
GENERAL MOTORS CO,GENERAL MOTORS
GENUINE PARTS,GENUINE PARTS
GENUINE PARTS CO,GENUINE PARTS
GILEAD SCIENCES,GILEAD SCIENCES
"GILEAD SCIENCES, INC",GILEAD SCIENCES
GLOBAL PAYMENTS,GLOBAL PAYMENTS
GLOBAL PAYMENTS INC,GLOBAL PAYMENTS
GLOBE LIFE,GLOBE LIFE
GLOBE LIFE INC,GLOBE LIFE
GODADDY,GODADDY
GODADDY CL.A,GODADDY
GOLDMAN SACHS GP.,GOLDMAN SACHS GROUP
GOLDMAN SACHS GROUP,GOLDMAN SACHS GROUP
HALLIBURTON,HALLIBURTON
HALLIBURTON COMPANY,HALLIBURTON
HARTFORD INSURANCE,HARTFORD INSURANCE
HARTFORD INSURANCE GROUP,HARTFORD INSURANCE
HASBRO,HASBRO
HASBRO INC,HASBRO
HCA HEALTHCARE,HCA HEALTHCARE
HEALTHPEAK,HEALTHPEAK
HEALTHPEAK PROPERTIES,HEALTHPEAK
HENRY SCHEIN,HENRY SCHEIN
"HENRY, (JACK) & ASSC",JACK HENRY AND ASSOCIATES
HERSHEY,HERSHEY
HERSHEY CO,HERSHEY
HESS,HESS
HESS CORP,HESS
HEWLETT PACKARD,HEWLETT PACKARD
HEWLETT PACKARD ENTER.,HEWLETT PACKARD
HILTON WORLDWIDE,HILTON WORLDWIDE
HILTON WORLDWIDE HDG.,HILTON WORLDWIDE
HNTGTN.INGALLS INDS.,HUNTINGTON INGALLS
HOLOGIC,HOLOGIC
HOLOGIC INC,HOLOGIC
HOME DEPOT,HOME DEPOT
"HOME DEPOT, INC.",HOME DEPOT
HONEYWELL INTERNATNL,HONEYWELL INTL.
HONEYWELL INTL.,HONEYWELL INTL.
HORMEL FOODS,HORMEL FOODS
HORMEL FOODS CORP,HORMEL FOODS
HOST HOTELS &,HOST HOTELS & RESORTS
HOST HOTELS & RESORTS REIT,HOST HOTELS & RESORTS
HOWMET AEROSPACE,HOWMET AEROSPACE
HP,HP
HP INC,HP
HUBBELL,HUBBELL
HUBBELL INC,HUBBELL
HUMANA,HUMANA
HUMANA INC.,HUMANA
HUNT JB TRANSPORT SVS.,J B HUNT TRANSPORT
HUNTINGTON BANCSHR,HUNTINGTON BANCSHARES
HUNTINGTON BCSH.,HUNTINGTON BANCSHARES
HUNTINGTON INGALLS,HUNTINGTON INGALLS
IDEX,IDEX
IDEX CORP,IDEX
IDEXX LABORATORIES,IDEXX
ILLINOIS TOOL WORKS,ILLINOIS TOOL WORKS
INCYTE,INCYTE
INCYTE CORP,INCYTE
INGERSOLL RAND,INGERSOLL RAND
INSULET,INSULET
INSULET CORP,INSULET
INT'L BUSINESS MACHS,IBM
INTEL,INTEL
INTEL CORP,INTEL
INTERCONTINENTAL,INTERCONTINENTAL
INTERCONTINENTAL EX.,INTERCONTINENTAL
